LP DATA SID BETTER WORSE
en-cs newstest2017 1200 LIUM-FNMT.4852 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 1200 tuning-task-afrl_4gb.sgm.0 LIUM-NMT.4947
en-cs newstest2017 1200 tuning-task-ufal_4gb.sgm.0 LIUM-NMT.4947
en-cs newstest2017 1200 LIUM-FNMT.4852 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 1200 LIUM-FNMT.4852 LIUM-NMT.4947
en-cs newstest2017 1200 CU-Chimera.4886 LIUM-NMT.4947
en-cs newstest2017 1200 tuning-task-denisov_4gb.sgm.0 LIUM-NMT.4947
en-cs newstest2017 1200 tuning-task-baseline_8gb.sgm.0 LIUM-NMT.4947
en-cs newstest2017 643 online-B.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 643 LIUM-NMT.4947 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 643 LIUM-NMT.4947 online-A.0
en-cs newstest2017 643 online-B.0 online-A.0
en-cs newstest2017 643 online-B.0 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 643 LIUM-NMT.4947 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 643 online-B.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 643 LIUM-NMT.4947 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 344 uedin-nmt.4956 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 344 uedin-nmt.4956 online-A.0
en-cs newstest2017 344 uedin-nmt.4956 LIUM-FNMT.4852
en-cs newstest2017 344 uedin-nmt.4956 CU-Chimera.4886
en-cs newstest2017 344 uedin-nmt.4956 online-B.0
en-cs newstest2017 344 uedin-nmt.4956 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 344 uedin-nmt.4956 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 344 limsi-factored-norm.4957 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 344 limsi-factored-norm.4957 LIUM-FNMT.4852
en-cs newstest2017 344 limsi-factored-norm.4957 CU-Chimera.4886
en-cs newstest2017 344 tuning-task-baseline_8gb.sgm.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 344 tuning-task-baseline_8gb.sgm.0 CU-Chimera.4886
en-cs newstest2017 345 LIUM-FNMT.4852 uedin-nmt.4956
en-cs newstest2017 345 uedin-nmt.4956 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 345 limsi-factored-norm.4957 uedin-nmt.4956
en-cs newstest2017 345 LIUM-FNMT.4852 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 345 limsi-factored-norm.4957 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 345 LIUM-FNMT.4852 online-A.0
en-cs newstest2017 345 limsi-factored-norm.4957 online-A.0
en-cs newstest2017 345 LIUM-FNMT.4852 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 345 limsi-factored-norm.4957 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 345 LIUM-FNMT.4852 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 345 LIUM-NMT.4947 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 345 limsi-factored-norm.4957 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 345 limsi-factored-norm.4957 LIUM-NMT.4947
en-cs newstest2017 345 LIUM-FNMT.4852 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 345 LIUM-NMT.4947 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 345 limsi-factored-norm.4957 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 346 limsi-factored-norm.4957 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 346 tuning-task-ufal_8gb.sgm.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 346 limsi-factored-norm.4957 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 346 uedin-nmt.4956 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 346 uedin-nmt.4956 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 347 PJATK.4761 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 347 PJATK.4761 online-A.0
en-cs newstest2017 347 LIUM-NMT.4947 online-A.0
en-cs newstest2017 347 PJATK.4761 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 347 tuning-task-baseline_8gb.sgm.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 347 tuning-task-baseline_8gb.sgm.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 347 tuning-task-baseline_8gb.sgm.0 online-A.0
en-cs newstest2017 347 tuning-task-baseline_8gb.sgm.0 LIUM-NMT.4947
en-cs newstest2017 340 uedin-nmt.4956 PJATK.4761
en-cs newstest2017 340 uedin-nmt.4956 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 340 uedin-nmt.4956 limsi-factored-norm.4957
en-cs newstest2017 340 uedin-nmt.4956 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 340 online-B.0 PJATK.4761
en-cs newstest2017 340 online-B.0 limsi-factored-norm.4957
en-cs newstest2017 340 online-A.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 340 PJATK.4761 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 340 CU-Chimera.4886 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 340 online-B.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 340 limsi-factored-norm.4957 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 340 tuning-task-baseline_8gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 340 online-A.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 340 online-B.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 341 online-A.0 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 341 tuning-task-afrl_8gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 341 online-A.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 342 uedin-nmt.4956 PJATK.4761
en-cs newstest2017 342 uedin-nmt.4956 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 342 tuning-task-afrl_4gb.sgm.0 PJATK.4761
en-cs newstest2017 342 tuning-task-afrl_4gb.sgm.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 342 tuning-task-ufal_4gb.sgm.0 PJATK.4761
en-cs newstest2017 342 online-B.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 342 LIUM-NMT.4947 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 342 tuning-task-afrl_4gb.sgm.0 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 342 tuning-task-afrl_8gb.sgm.0 PJATK.4761
en-cs newstest2017 342 LIUM-NMT.4947 PJATK.4761
en-cs newstest2017 342 online-B.0 PJATK.4761
en-cs newstest2017 342 tuning-task-ufal_8gb.sgm.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 342 tuning-task-ufal_8gb.sgm.0 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 342 tuning-task-ufal_8gb.sgm.0 PJATK.4761
en-cs newstest2017 342 tuning-task-ufal_8gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 342 tuning-task-ufal_8gb.sgm.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 342 tuning-task-afrl_4gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 342 tuning-task-afrl_8gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 342 online-B.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 342 LIUM-NMT.4947 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 342 tuning-task-baseline_8gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 342 tuning-task-afrl_4gb.sgm.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 342 tuning-task-baseline_8gb.sgm.0 PJATK.4761
en-cs newstest2017 342 online-B.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 343 uedin-nmt.4956 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 343 uedin-nmt.4956 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 343 uedin-nmt.4956 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 343 uedin-nmt.4956 online-A.0
en-cs newstest2017 343 uedin-nmt.4956 CU-Chimera.4886
en-cs newstest2017 343 uedin-nmt.4956 online-B.0
en-cs newstest2017 343 uedin-nmt.4956 LIUM-NMT.4947
en-cs newstest2017 343 uedin-nmt.4956 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 343 uedin-nmt.4956 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 343 uedin-nmt.4956 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 343 tuning-task-afrl_4gb.sgm.0 LIUM-NMT.4947
en-cs newstest2017 343 PJATK.4761 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 343 CU-Chimera.4886 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 343 PJATK.4761 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 343 CU-Chimera.4886 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 343 PJATK.4761 online-A.0
en-cs newstest2017 343 CU-Chimera.4886 online-A.0
en-cs newstest2017 343 PJATK.4761 LIUM-NMT.4947
en-cs newstest2017 343 online-B.0 online-A.0
en-cs newstest2017 343 online-B.0 LIUM-NMT.4947
en-cs newstest2017 343 CU-Chimera.4886 LIUM-NMT.4947
en-cs newstest2017 343 tuning-task-afrl_4gb.sgm.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 343 PJATK.4761 tuning-task-ufal_8gb.sgm.0
