model_type,cs-en,de-en,et-en,fi-en,ru-en,tr-en,zh-en,avg
bertscore (idf),0.37573385518590996,0.5379059516006734,0.39313481779235204,0.29486196319018404,0.34121491733948484,0.2898533724340176,0.2444764217405642,0.3538830427547409
moverscore (idf),0.36203522504892366,0.5285756512575343,0.39147758325840515,0.2967791411042945,0.3377547097270281,0.2884457478005865,0.24423659201966605,0.3499006643166341
baryscore (idf),-0.3604696673189824,-0.525054298235468,-0.37885439255302267,-0.279780163599182,-0.3223760092272203,-0.2541935483870968,-0.2518511856581827,-0.33893989499702215
bertscore (idf),0.37455968688845404,0.5361838300497359,0.3929937765554204,0.29460633946830267,0.33967704728950404,0.29008797653958945,0.2432772731360734,0.3530551328467257
moverscore (idf),0.36203522504892366,0.5295523769132899,0.3915833641861039,0.2967791411042945,0.33794694348327564,0.2884457478005865,0.24423659201966605,0.3500827700794486
baryscore (idf),-0.3589041095890411,-0.5219956047345491,-0.3792422559545847,-0.278118609406953,-0.3246828143021915,-0.255366568914956,-0.25281050454177534,-0.3387314953491501
moverscore (idf),0.36281800391389435,0.5302206628882806,0.3916186244953368,0.2967791411042945,0.33813917723952325,0.29008797653958945,0.2444764217405642,0.3505914297030691
baryscore (idf),-0.35772994129158514,-0.5212759121460976,-0.3794538178099822,-0.285659509202454,-0.33121876201460976,-0.26099706744868034,-0.2500524627514465,-0.3409124960949795
moverscore (idf),0.36203522504892366,0.5285756512575343,0.39147758325840515,0.2967791411042945,0.3377547097270281,0.2884457478005865,0.24423659201966605,0.3499006643166341
bertscore (idf),0.37455968688845404,0.5351299944737891,0.39281747500925585,0.2928169734151329,0.3391003460207612,0.28961876832844574,0.24333723056629794,0.3524829249574481
baryscore (idf),-0.3604696673189824,-0.525054298235468,-0.37885439255302267,-0.279780163599182,-0.3223760092272203,-0.2541935483870968,-0.2518511856581827,-0.33893989499702215
